"cep","geo","id_bairro","bairro","distrito","regional"
"88047604","-27.6663027, -48.5353337","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047605","-27.6652449, -48.5358474","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047612","-27.6684315, -48.5314974","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047614","-27.6647454, -48.5316450","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047615","-27.6675943, -48.5309458","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047616","-27.6681347, -48.5327829","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047618","-27.6707026, -48.5333382","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047620","-27.6696622, -48.5310284","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047622","-27.6705256, -48.5293090","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047624","-27.6702768, -48.5307947","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047626","-27.6713274, -48.5296633","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047628","-27.6715845, -48.5317199","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047630","-27.6690396, -48.5312618","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047632","-27.6699694, -48.5309113","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047640","-27.66766845353272, -48.52895968746906","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047655","-27.6660779, -48.5281580","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047660","-27.6654903, -48.5285455","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047665","-27.6648893, -48.5287879","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047668","-27.6645500, -48.5301532","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047670","-27.6638826, -48.5277190","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047675","-27.6626025, -48.5280858","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047676","-27.6620758, -48.5284594","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047678","-27.6669164, -48.5264179","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047679","-27.6621460, -48.5374815","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047680","-27.6721353, -48.5301162","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047700","-27.6675866, -48.5363059","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047710","-27.6652682, -48.5383842","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047720","-27.6658148, -48.5399388","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047730","-27.6651445, -48.5391033","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047740","-27.6649827, -48.5398214","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047750","-27.664336288740262, -48.540498561506126","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047760","-27.6642967, -48.5390383","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047770","-27.6661128, -48.5380504","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047772","-27.6668148, -48.5380409","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047774","-27.6671700, -48.5371041","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047776","-27.6676952081052, -48.536597882346726","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047900","-27.6583639, -48.5273072","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047901","-27.679936384409505, -48.5671664538116","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047902","-27.663322153799427, -48.545052974661914","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047970","-27.662667002071935, -48.531985496751616","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047971","-27.63208372224092, -48.523634980131526","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88047972","-27.66342543138123, -48.53076543719119","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88047973","-27.66346344107266, -48.53077616602611","13934","CARIANOS","RIBEIRÃO DA ILHA","SUL"
"88048000","-27.64626271968987, -48.52292906487228","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048002","-27.649257227481552, -48.52159919041271","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048004","-27.6471097, -48.5205356","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048005","-27.6519097, -48.5165438","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
"88048006","-27.6470419, -48.5187410","13940","COSTEIRA DO PIRAJUBAÉ","CENTRO","SUL"
